,High,Low,Open,Close,Day,Month,Year
1749,4389.811523,3991.543945,4223.243164,4106.664063,19,1,2020
1750,4126.489258,3994.268555,4105.302246,4063.633789,20,1,2020
1751,4125.822266,4005.438965,4065.783447,4103.376465,21,1,2020
1752,4194.818848,4075.737793,4102.786133,4149.581055,22,1,2020
1753,4171.200684,3808.051514,4149.272949,3896.830322,23,1,2020
1754,3953.175537,3663.592773,3897.796875,3889.50708,24,1,2020
1755,3891.808594,3763.790771,3891.808594,3830.021729,25,1,2020
1756,4028.203369,3801.645508,3829.256836,4009.476318,26,1,2020
1757,4256.8125,4006.83667,4013.943359,4198.635254,27,1,2020
1758,4356.589355,4115.073242,4199.013672,4322.284668,28,1,2020
1759,4439.038574,4263.130859,4321.710938,4284.157227,29,1,2020
1760,4991.150391,4206.663086,4279.592285,4878.144043,30,1,2020
1761,4960.587402,4703.858398,4879.57373,4853.315918,31,1,2020
1762,5168.114258,4837.269531,4855.391113,5063.560547,1,2,2020
1763,5237.568359,4871.152344,5062.296387,5021.484863,2,2,2020
1764,5162.817871,4919.046387,5004.399902,4977.01123,3,2,2020
1765,5001.313965,4757.562012,4976.245605,4849.401855,4,2,2020
1766,5209.797363,4832.221191,4843.629883,5160.78418,5,2,2020
1767,5323.251465,5070.102539,5163.580078,5232.833496,6,2,2020
1768,5360.75293,5236.563477,5238.483398,5317.651855,7,2,2020
1769,5536.892578,5159.128906,5320.459961,5468.654297,8,2,2020
1770,5592.633789,5413.120605,5467.333496,5513.336426,9,2,2020
1771,5530.09082,5213.828125,5516.945801,5300.129395,10,2,2020
1772,5462.680176,5192.862793,5300.912598,5460.268066,11,2,2020
1773,5866.487305,5451.682129,5452.863281,5797.004395,12,2,2020
1774,5965.238281,5601.229492,5792.174805,5731.035645,13,2,2020
1775,5969.943359,5681.266602,5729.045898,5936.04248,14,2,2020
1776,5964.210449,5443.411621,5938.553223,5472.755371,15,2,2020
1777,5751.701172,4976.628418,5488.209473,5375.511719,16,2,2020
1778,5392.025879,4951.640625,5362.313965,5227.168457,17,2,2020
